GPST AZ LAT LON
1298964458.424202 251.71492283451192  
1298964458.51617 251.6961516941396  
1298964458.637607 251.94220415161467 5959.78019 03017.47208
1298964458.762217 251.7727687550395 5959.78011 03017.47212
1298964458.88717 252.05917449763507 5959.78013 03017.47218
1298964459.030332 252.07567079877376 5959.78013 03017.47220
1298964459.167065 251.79103697397534 5959.78011 03017.47219
1298964459.307691 251.97614427259967 5959.78008 03017.47215
1298964459.425805 251.75179665512948 5959.78007 03017.47214
1298964459.520552 251.75179665512948 5959.78004 03017.47213
1298964459.664055 251.76990721595703 5959.77999 03017.47211
1298964459.78585 252.13973090081205 5959.77997 03017.47213
1298964459.875368 251.76990721595703 5959.77995 03017.47214
1298964460.015933 251.86197149875167 5959.77994 03017.47216
1298964460.110945 251.86197149875167 5959.77993 03017.47217
1298964460.154999 251.86197149875167 5959.77992 03017.47218
1298964460.298987 251.6384520363911 5959.77991 03017.47218
1298964460.420849 251.7132995176728 5959.77989 03017.47218
1298964460.515735 251.935800152534 5959.77986 03017.47215
1298964460.590386 252.28531238514293 5959.77983 03017.47215
1298964460.6344 252.28531238514293 5959.77982 03017.47215
1298964460.755861 252.58540348316455 5959.77979 03017.47213
1298964460.83035 252.09827988061394 5959.77976 03017.47211
1298964460.905266 252.09827988061394 5959.77974 03017.47209
1298964460.979867 251.9296606064124 5959.77971 03017.47207
1298964461.053882 251.12689616980407 5959.77971 03017.47204
1298964461.173657 250.91778841387344 5959.77968 03017.47202
1298964461.247648 249.4844194629062 5959.77966 03017.47201
1298964461.322065 248.95577833756084 5959.77966 03017.47200
1298964461.416909 248.61483425456348 5959.77965 03017.47197
1298964461.490869 247.5031677009345 5959.77963 03017.47197
1298964461.58503 245.47361025415563 5959.77962 03017.47194
1298964461.673839 244.61895265754288 5959.77962 03017.47191
1298964461.701774 244.61895265754288 5959.77961 03017.47189
1298964461.796827 242.61938891707808 5959.77959 03017.47186
1298964461.891888 242.3923392908278 5959.77956 03017.47187
1298964461.986925 242.32824456378472 5959.77955 03017.47187
1298964462.030893 242.88978004828442 5959.77958 03017.47186
1298964462.125189 243.50834968223512 5959.77957 03017.47184
1298964462.198978 243.9530383881511 5959.77959 03017.47186
1298964462.295448 244.80684726348892 5959.77959 03017.47181
1298964462.390042 245.20854403120254 5959.77960 03017.47175
1298964462.463991 245.23764152165515 5959.77969 03017.47183
1298964462.538561 245.15838907781298 5959.77967 03017.47179
1298964462.634611 244.97050166125217 5959.77969 03017.47176
1298964462.709207 245.10771289024186 5959.77974 03017.47175
1298964462.782921 245.05014860209118 5959.77976 03017.47174
1298964462.857095 245.25818567536905 5959.77979 03017.47174
1298964462.930825 245.23764152165515 5959.77983 03017.47161
1298964463.025599 245.84565554135898 5959.77986 03017.47157
1298964463.099585 245.69021430710956 5959.77988 03017.47157
1298964463.193871 245.75177941643915 5959.77987 03017.47160
1298964463.267659 245.75177941643915 5959.77986 03017.47160
1298964463.341936 246.17216798229035 5959.77984 03017.47161
1298964463.415996 246.0492199031077 5959.77984 03017.47164
1298964463.490175 246.5445393049578 5959.77985 03017.47164
1298964463.533984 246.5445393049578 5959.77988 03017.47164
1298964463.64365 246.31425833846475 5959.77994 03017.47160
1298964463.763511 246.47830609053185 5959.77994 03017.47159
1298964463.838042 246.50132793719243 5959.77993 03017.47157
1298964463.881985 246.15925820887082 5959.77991 03017.47157
1298964464.001713 246.4680729848494 5959.77989 03017.47158
1298964464.046048 246.4680729848494 5959.77990 03017.47156
1298964464.142724 246.50132793719243 5959.77988 03017.47155
1298964464.242033 246.50132793719243 5959.77987 03017.47154
1298964464.318579 246.50132793719243 5959.77985 03017.47153
1298964464.362787 246.4243811069667 5959.77984 03017.47152
1298964464.45982 246.73040218171735 5959.77981 03017.47152
1298964464.55505 246.57797944476857 5959.77980 03017.47151
1298964464.636646 246.6455172787008 5959.77979 03017.47152
1298964464.734549 246.6543370538124 5959.77980 03017.47149
1298964464.778635 246.6543370538124 5959.77981 03017.47148
1298964464.872869 246.72224387627438 5959.77977 03017.47149
1298964464.947288 246.4680729848494 5959.77977 03017.47149
1298964465.021521 246.4243811069667 5959.77976 03017.47147
1298964465.116279 246.6543370538124 5959.77979 03017.47146
1298964465.190336 246.5445393049578 5959.77979 03017.47145
1298964465.284422 246.53480062784527 5959.77978 03017.47145
1298964465.358223 246.3471375232405 5959.77980 03017.47143
1298964465.432221 246.73040218171735 5959.77982 03017.47141
1298964465.475981 246.57797944476857 5959.77983 03017.47140
1298964465.570616 246.4243811069667 5959.77985 03017.47139
1298964465.680056 246.4680729848494 5959.77986 03017.47138
1298964465.724215 246.31425833846475 5959.77987 03017.47137
1298964465.818896 246.3471375232405 5959.77989 03017.47136
1298964465.892794 246.62071350474005 5959.77990 03017.47135
1298964466.012379 246.45766606343605 5959.77991 03017.47134
1298964466.086031 246.45766606343605 5959.77991 03017.47134
1298964466.160788 246.73040218171735 5959.77991 03017.47134
1298964466.234596 246.56849317923465 5959.77992 03017.47133
1298964466.308674 247.02620407803687 5959.77991 03017.47132
1298964466.40325 247.2832184329272 5959.77992 03017.47132
1298964466.477613 247.05583906243174 5959.77994 03017.47132
1298964466.551793 246.94434402452967 5959.77995 03017.47135
1298964466.657218 247.13192733917492 5959.77994 03017.47128
1298964466.731327 247.16763120089593 5959.77995 03017.47126
1298964466.826923 247.17207101332505 5959.77996 03017.47126
1298964466.901239 247.01479486926638 5959.77997 03017.47125
1298964466.975155 247.01479486926638 5959.77997 03017.47124
1298964467.049514 247.1631150994224 5959.77999 03017.47123
1298964467.150847 246.66102111578783 5959.77999 03017.47122
1298964467.224434 247.69326580735355 5959.78000 03017.47123
1298964467.281622 248.57037692868718 5959.78001 03017.47121
1298964467.351768 249.3471210835583 5959.78001 03017.47123
1298964467.421954 249.93251031920562 5959.78002 03017.47121
1298964467.454902 249.93251031920562 5959.78001 03017.47120
1298964467.524958 250.65493011725198 5959.78001 03017.47118
1298964467.600255 250.65493011725198 5959.78002 03017.47117
1298964467.670481 251.55428642742908 5959.78003 03017.47115
1298964467.725403 251.55428642742908 5959.78004 03017.47115
1298964467.780436 253.46863127782066 5959.78005 03017.47116
1298964467.835449 255.41664974355265 5959.78007 03017.47116
1298964467.905617 256.4285827587543 5959.78009 03017.47117
1298964467.99574 257.58213952716795 5959.78009 03017.47117
1298964468.053514 257.58213952716795 5959.78010 03017.47118
1298964468.129253 261.2300265087559 5959.78011 03017.47122
1298964468.184597 261.2300265087559 5959.78012 03017.47124
1298964468.239528 264.3832388796946 5959.78011 03017.47128
1298964468.294334 263.0762766629902 5959.78014 03017.47133
1298964468.364557 262.87825507234464 5959.78015 03017.47129
1298964468.419471 264.1894900289271 5959.78016 03017.47126
1298964468.474468 264.1894900289271 5959.78018 03017.47126
1298964468.544689 266.3025420218908 5959.78019 03017.47125
1298964468.599585 267.1310162969808 5959.78020 03017.47124
1298964468.663241 267.44650407364577 5959.78021 03017.47123
1298964468.717871 267.44650407364577 5959.78020 03017.47124
1298964468.788059 266.1282146302756 5959.78022 03017.47122
1298964468.843183 266.1282146302756 5959.78023 03017.47123
1298964468.913179 265.59654126124406 5959.78023 03017.47123
1298964468.967801 265.59654126124406 5959.78024 03017.47122
1298964469.022656 264.44353031237927 5959.78025 03017.47123
1298964469.102194 264.1613061125572 5959.78025 03017.47122
1298964469.23063 263.3864915331307 5959.78025 03017.47122
1298964469.420569 264.1080597188949 5959.78025 03017.47122
1298964469.6041 262.7487484558869 5959.78025 03017.47121
1298964469.839369 263.504636737492 5959.78025 03017.47121
1298964470.022766 264.4494519487153 5959.78026 03017.47123
1298964470.212425 262.4129255248468 5959.78027 03017.47118
1298964470.444558 265.2143016457237 5959.78026 03017.47120
1298964470.628215 265.34339002728365 5959.78026 03017.47121
1298964470.811464 267.2742408525164 5959.78026 03017.47121
1298964471.002672 269.34075819044835 5959.78023 03017.47124
1298964471.236396 271.05295967556214 5959.78025 03017.47120
1298964471.420052 272.18394360357723 5959.78025 03017.47118
1298964471.603668 272.7721167200099 5959.78026 03017.47114
1298964471.84307 273.75000274610204 5959.78029 03017.47107
1298964472.025374 274.6008885644977 5959.78031 03017.47097
1298964472.208868 274.3845984098598 5959.78034 03017.47083
1298964472.392339 273.7411889148446 5959.78037 03017.47068
1298964472.632205 274.4373657125705 5959.78036 03017.47048
1298964472.817181 273.54907574845845 5959.78037 03017.47028
1298964473.008497 273.73832006166265 5959.78038 03017.46996
1298964473.249881 275.04314158742346 5959.78043 03017.46977
1298964473.43346 273.5877313127174 5959.78041 03017.46954
1298964473.624846 271.63335787137163 5959.78034 03017.46919
1298964473.806607 270.1303548957362 5959.78034 03017.46892
1298964473.990554 267.12868261510664 5959.78033 03017.46870
1298964474.257182 267.0274019147516 5959.78030 03017.46841
1298964474.440978 267.41769461033766 5959.78025 03017.46768
1298964474.781785 269.8301081410483 5959.78012 03017.46738
1298964475.021513 269.86396552234635 5959.78020 03017.46693
1298964475.206083 270.0135306830752 5959.77984 03017.46684
1298964475.597857 271.4082066128747 5959.77992 03017.46664
1298964475.785474 271.23330507686785 5959.77989 03017.46623
1298964476.177468 268.8067658857188 5959.77994 03017.46593
1298964476.360941 269.4579425256176 5959.77986 03017.46575
1298964476.552308 269.77737081399886 5959.77984 03017.46554
1298964476.743601 269.9687511500903 5959.77982 03017.46520
1298964476.819244 270.2584811830737 5959.77982 03017.46493
1298964477.169811 270.55202768721915 5959.77980 03017.46469
1298964477.361274 272.10818360489566 5959.77977 03017.46449
1298964477.434807 272.62756090993014 5959.77985 03017.46421
1298964477.742374 273.84760158566644 5959.77987 03017.46385
1298964477.817722 273.95742980824946 5959.77990 03017.46352
1298964478.174791 274.99916939382086 5959.77991 03017.46330
1298964478.415611 274.1002600625731 5959.77991 03017.46308
1298964478.606911 274.8349960529328 5959.77992 03017.46278
1298964478.71668 274.44560843233205 5959.77990 03017.46263
1298964478.991321 275.099674158632 5959.77989 03017.46193
1298964479.3989 275.90596460450445 5959.77986 03017.46171
1298964479.590478 276.80448298023117 5959.77986 03017.46120
1298964479.823822 277.34131400310355 5959.77984 03017.46094
1298964480.222025 277.53626352456587 5959.77987 03017.46063
1298964480.4134 276.53502856493844 5959.77990 03017.45980
1298964480.821216 274.68795055642846 5959.77985 03017.45940
1298964481.02022 273.39187748293784 5959.77984 03017.45910
1298964481.213449 273.1050844973975 5959.77986 03017.45865
1298964481.410828 271.22125013933254 5959.77984 03017.45832
1298964481.4847 270.4084600779222 5959.77984 03017.45821
1298964481.817531 270.85240548065843 5959.77983 03017.45799
1298964482.002593 269.93250988219296 5959.77985 03017.45770
1298964482.335388 270.1238372719132 5959.77987 03017.45712
1298964482.403114 269.481150974468 5959.77985 03017.45705
1298964482.736059 269.68611918231323 5959.77982 03017.45686
1298964482.925532 269.43915614488697 5959.77983 03017.45634
1298964483.159016 267.2028409770421 5959.77978 03017.45615
1298964483.491777 264.7828535428031 5959.77969 03017.45575
1298964483.875705 266.59094581374 5959.77971 03017.45551
1298964484.09859 266.975601238831 5959.77965 03017.45498
1298964484.282347 269.2301877983574 5959.77967 03017.45474
1298964484.666232 271.86538417238455 5959.77966 03017.45441
1298964484.855694 273.2372844781938 5959.77965 03017.45423
1298964484.923503 273.2532309791773 5959.77965 03017.45394
1298964485.256334 272.3022149449639 5959.77966 03017.45372
1298964485.440064 271.2326850530659 5959.77969 03017.45348
1298964485.629639 270.50215213572886 5959.77963 03017.45330
1298964485.813112 270.50215213572886 5959.77963 03017.45310
1298964485.881019 270.74271363092276 5959.77963 03017.45286
1298964486.213684 270.50614021018134 5959.77964 03017.45260
1298964486.45327 272.13451067056485 5959.77967 03017.45210
1298964486.83708 273.4373624701204 5959.77970 03017.45155
1298964487.226837 272.6062546947078 5959.77974 03017.45119
1298964487.410587 271.29227609444445 5959.77972 03017.45091
1298964487.594419 270.3007638703036 5959.77970 03017.45057
1298964487.827695 263.2744304346416 5959.77969 03017.45026
1298964487.901503 262.2043253075226 5959.77969 03017.44991
1298964488.234478 260.16745958578457 5959.77967 03017.44947
1298964488.417863 261.74300333520785 5959.77961 03017.44871
1298964488.651654 265.808935324137 5959.77961 03017.44833
1298964489.017582 276.59880364516835 5959.77957 03017.44802
1298964489.207079 280.8564904394908 5959.77957 03017.44763
1298964489.274848 281.3833333333334 5959.77956 03017.44726
1298964489.607676 284.4498188344592 5959.77956 03017.44696
1298964489.841414 283.5812397345861 5959.77953 03017.44662
1298964490.030714 283.79436307994456 5959.77953 03017.44627
1298964490.214571 283.57191589373656 5959.77950 03017.44589
1298964490.282296 282.3584864764259 5959.77949 03017.44555
1298964490.616623 282.0557881305447 5959.77947 03017.44532
1298964490.804684 281.24658948911525 5959.77944 03017.44499
1298964490.872392 280.24766266635385 5959.77947 03017.44475
1298964491.262152 280.74815115728364 5959.77951 03017.44419
1298964491.646149 281.6764038183597 5959.77947 03017.44394
1298964491.829817 280.79870281262816 5959.77948 03017.44368
1298964492.069448 280.9557608264999 5959.77946 03017.44358
1298964492.25283 281.3833333333334 5959.77944 03017.44304
1298964492.636763 282.0736105311984 5959.77941 03017.44277
1298964492.826404 282.1293299717034 5959.77943 03017.44209
1298964493.060022 280.8612905634302 5959.77933 03017.44173
1298964493.392704 279.7659998523261 5959.77930 03017.44132
1298964493.57641 278.5351454219454 5959.77927 03017.44099
1298964493.651892 278.9116685716999 5959.77921 03017.44064
1298964494.0257 275.2579613931336 5959.77919 03017.44040
1298964494.259375 274.18850796687275 5959.77918 03017.44006
1298964494.448724 273.2532309791773 5959.77908 03017.43979
1298964494.632452 273.1597632325415 5959.77908 03017.43952
1298964494.70034 273.84965216344136 5959.77915 03017.43914
1298964495.032952 272.98326373687775 5959.77916 03017.43893
1298964495.222621 273.8595128946947 5959.77916 03017.43863
1298964495.290495 274.4969060019014 5959.77911 03017.43826
1298964495.623097 273.9696329271208 5959.77910 03017.43795
1298964495.696725 274.68146866682355 5959.77911 03017.43759
1298964496.02966 273.7792367756653 5959.77911 03017.43727
1298964496.263237 273.90516285100705 5959.77915 03017.43700
1298964496.446775 273.2532309791773 5959.77917 03017.43669
1298964496.630578 272.21658196910903 5959.77921 03017.43642
1298964496.704116 272.57463249690943 5959.77922 03017.43614
1298964497.087937 271.06656762623015 5959.77921 03017.43584
1298964497.27762 270.7948467088095 5959.77919 03017.43526
1298964497.51125 269.66501018572757 5959.77915 03017.43495
1298964497.899306 269.5015019086514 5959.77912 03017.43461
1298964498.001349 268.57301255185723 5959.77908 03017.43418
1298964498.075322 268.6019993378699 5959.77906 03017.43385
1298964498.408162 267.83392492136124 5959.77903 03017.43353
1298964498.591575 267.22784804065657 5959.77900 03017.43320
1298964498.776743 267.5947200016072 5959.77900 03017.43292
1298964499.049535 265.7410868761246 5959.77900 03017.43232
1298964499.433463 265.5402512156463 5959.77901 03017.43202
1298964499.617076 265.2485021218845 5959.77898 03017.43163
1298964499.69075 265.91200516781316 5959.77895 03017.43124
1298964500.023545 265.900851619285 5959.77889 03017.43045
