GPST DATE(UTC) TIME(UTC) FIELD
1298964466.592 2021-03-05 07:27:28.591 0.0
1298964467.125 2021-03-05 07:27:29.125 51197.618
1298964467.589 2021-03-05 07:27:29.589 0.0
1298964468.128 2021-03-05 07:27:30.128 51070.138
1298964468.631 2021-03-05 07:27:30.630 50792.09
1298964469.893 2021-03-05 07:27:31.892 0.0
1298964469.588 2021-03-05 07:27:31.587 0.0
1298964470.114 2021-03-05 07:27:32.114 45657.914
1298964470.592 2021-03-05 07:27:32.592 0.0
1298964471.967 2021-03-05 07:27:33.966 0.0
1298964471.593 2021-03-05 07:27:33.592 0.0
1298964472.124 2021-03-05 07:27:34.123 51164.779
1298964472.590 2021-03-05 07:27:34.590 0.0
1298964473.143 2021-03-05 07:27:35.142 51815.959
1298964473.631 2021-03-05 07:27:35.630 51930.34
1298964474.149 2021-03-05 07:27:36.149 51999.487
1298964474.653 2021-03-05 07:27:36.653 52208.119
1298964475.164 2021-03-05 07:27:37.163 52560.902
1298964475.651 2021-03-05 07:27:37.651 52801.118
1298964476.937 2021-03-05 07:27:38.937 0.0
1298964476.627 2021-03-05 07:27:38.626 52388.868
1298964477.119 2021-03-05 07:27:39.119 50546.324
1298964477.627 2021-03-05 07:27:39.626 52379.675
1298964478.119 2021-03-05 07:27:40.119 51282.078
1298964478.626 2021-03-05 07:27:40.626 50997.521
1298964479.128 2021-03-05 07:27:41.128 51809.717
1298964479.624 2021-03-05 07:27:41.624 51161.064
1298964480.960 2021-03-05 07:27:42.960 0.0
1298964480.622 2021-03-05 07:27:42.622 51660.232
1298964481.130 2021-03-05 07:27:43.129 53938.435
1298964481.629 2021-03-05 07:27:43.628 52069.371
1298964482.200 2021-03-05 07:27:44.200 52376.86
1298964482.628 2021-03-05 07:27:44.628 52225.191
1298964483.132 2021-03-05 07:27:45.131 52106.487
1298964483.617 2021-03-05 07:27:45.617 58742.456
1298964484.124 2021-03-05 07:27:46.123 54727.437
1298964484.631 2021-03-05 07:27:46.630 51762.406
1298964485.122 2021-03-05 07:27:47.122 51535.254
1298964485.615 2021-03-05 07:27:47.614 39927.228
1298964486.975 2021-03-05 07:27:48.974 0.0
1298964486.596 2021-03-05 07:27:48.596 0.0
1298964487.961 2021-03-05 07:27:49.960 0.0
1298964487.599 2021-03-05 07:27:49.599 0.0
1298964488.127 2021-03-05 07:27:50.126 44896.666
1298964488.592 2021-03-05 07:27:50.592 0.0
1298964489.125 2021-03-05 07:27:51.124 47542.249
1298964489.638 2021-03-05 07:27:51.637 51589.294
1298964490.129 2021-03-05 07:27:52.128 51541.851
1298964490.627 2021-03-05 07:27:52.627 51829.037
1298964491.121 2021-03-05 07:27:53.121 50591.689
1298964491.651 2021-03-05 07:27:53.650 52304.042
1298964492.151 2021-03-05 07:27:54.150 52282.881
1298964493.149 2021-03-05 07:27:55.149 52493.576
1298964493.641 2021-03-05 07:27:55.640 52798.856
1298964494.155 2021-03-05 07:27:56.155 52876.132
1298964494.657 2021-03-05 07:27:56.657 52963.627
1298964495.171 2021-03-05 07:27:57.170 52926.185
1298964495.645 2021-03-05 07:27:57.644 52849.5
1298964496.145 2021-03-05 07:27:58.145 52908.985
1298964496.647 2021-03-05 07:27:58.647 53084.592
1298964497.155 2021-03-05 07:27:59.154 52966.93
1298964497.646 2021-03-05 07:27:59.645 52733.92
1298964498.124 2021-03-05 07:28:00.123 52924.907
1298964498.651 2021-03-05 07:28:00.651 52884.208
1298964499.126 2021-03-05 07:28:01.126 53154.478
1298964499.634 2021-03-05 07:28:01.633 52698.954
1298964500.122 2021-03-05 07:28:02.122 54263.824
1298964500.616 2021-03-05 07:28:02.615 56459.596
1298964501.130 2021-03-05 07:28:03.129 51685.654
1298964501.628 2021-03-05 07:28:03.627 51370.651
1298964502.121 2021-03-05 07:28:04.120 52126.189
1298964502.612 2021-03-05 07:28:04.612 53931.554
1298964503.120 2021-03-05 07:28:05.119 51049.864
1298964503.615 2021-03-05 07:28:05.615 51610.749
1298964504.116 2021-03-05 07:28:06.115 50673.553
1298964504.616 2021-03-05 07:28:06.616 49990.476
1298964505.119 2021-03-05 07:28:07.119 50985.221
1298964505.617 2021-03-05 07:28:07.616 56223.08
1298964506.114 2021-03-05 07:28:08.113 54086.798
1298964506.592 2021-03-05 07:28:08.591 0.0
1298964507.120 2021-03-05 07:28:09.120 55177.428
1298964507.592 2021-03-05 07:28:09.592 0.0
1298964508.119 2021-03-05 07:28:10.118 52583.265
1298964508.620 2021-03-05 07:28:10.620 50939.147
1298964509.117 2021-03-05 07:28:11.116 50600.772
1298964509.617 2021-03-05 07:28:11.617 47713.95
1298964510.123 2021-03-05 07:28:12.122 51867.188
1298964510.615 2021-03-05 07:28:12.615 49299.685
1298964511.121 2021-03-05 07:28:13.121 48039.254
1298964511.591 2021-03-05 07:28:13.590 0.0
1298964512.114 2021-03-05 07:28:14.114 45925.746
1298964512.596 2021-03-05 07:28:14.596 0.0
1298964513.127 2021-03-05 07:28:15.126 49360.123
1298964513.618 2021-03-05 07:28:15.617 53746.434
1298964514.126 2021-03-05 07:28:16.125 17901.823
1298964514.611 2021-03-05 07:28:16.611 56414.392
1298964515.991 2021-03-05 07:28:17.991 0.0
1298964515.614 2021-03-05 07:28:17.614 47131.489
1298964516.992 2021-03-05 07:28:18.991 0.0
1298964516.624 2021-03-05 07:28:18.623 50576.559
1298964517.128 2021-03-05 07:28:19.128 45870.933
1298964517.623 2021-03-05 07:28:19.622 50859.483
1298964518.101 2021-03-05 07:28:20.100 0.0
1298964518.621 2021-03-05 07:28:20.621 51431.807
1298964519.127 2021-03-05 07:28:21.127 51676.99
